id,Input,Brute_Result,Brute_Time(ms),Dp_Results,Dp_Time(ms),Manacher_Result,Manacher_Time(ms)
text1, babcbabcbaccba,abcbabcba,0.010599993402138352,abcbabcba,0.019099999917671084,abcbabcba,0.021899992134422064
text2, abaaba,abaaba,0.0027999922167509794,abaaba,0.006699992809444666,abaaba,0.010199990356341004
text3, abababa,abababa,0.0020999868866056204,abababa,0.006500020390376449,abababa,0.009400013368576765
text4, abcbabcbabcba,abcbabcbabcba,0.00200001522898674,abcbabcbabcba,0.013199984095990658,abcbabcbabcba,0.013100012438371778
text5, forgeeksskeegfor,geeksskeeg,0.005699985194951296,geeksskeeg,0.01580000389367342,geeksskeeg,0.013699987903237343
text6, caba,aba,0.0020999868866056204,aba,0.0035999983083456755,aba,0.005900015821680427
text7, abacdfgdcaba,aba,0.008700008038431406,aba,0.010599993402138352,aba,0.010099989594891667
text8, abacdfgdcabba,abba,0.009499985026195645,abba,0.012200005585327744,abba,0.010899995686486363
text9, abacdedcaba,abacdedcaba,0.0020999868866056204,abacdedcaba,0.010099989594891667,abacdedcaba,0.011099997209385037
text10, babad,bab,0.0024999899324029684,aba,0.0043000036384910345,aba,0.006999995093792677
text11, cbbd,bb,0.0025999906938523054,bb,0.0036999990697950125,bb,0.005900015821680427
text12, abb,bb,0.002200016751885414,bb,0.0029999937396496534,bb,0.006499991286545992
text13, abba,abba,0.002700020559132099,abba,0.005099980626255274,abba,0.00999998883344233
text14,,,0.00100000761449337,,0.000300002284348011,,0.0043000036384910345
text15, z, ,0.001900014467537403, ,0.0020999868866056204,z,0.005299982149153948
text16, aaaaaaa,aaaaaaa,0.002200016751885414,aaaaaaa,0.007199996616691351,aaaaaaa,0.013999990187585354
text17, abcdedcba,abcdedcba,0.0019999861251562834,abcdedcba,0.007599999662488699,abcdedcba,0.00990001717582345
text18, abcdeffedcba,abcdeffedcba,0.005299982149153948,abcdeffedcba,0.022599997464567423,abcdeffedcba,0.02370000584051013
text19, abcdefghijabcdefghij, ,0.023200002033263445, ,0.02540001878514886,j,0.015199999324977398
text20, xyz, ,0.0022999884095042944, ,0.0027999922167509794,z,0.0050000089686363935
text21, pqrs, ,0.0025999906938523054, ,0.0030999945010989904,s,0.0050000089686363935
1k,mftwovpjnsnnyuqtbbvqpqvaejfghgjifcnyxuagugegefvlvbgmqapmttkfcfylfsdkrpblgoaoyzefspsnghoqtgqvydwprurgqoeklwrgpyytwycpwfttdhnoftwceqzaqisymjwrbsyfwmnplkhueikxrhnkqurvgvurthsawderyeiyiaqsdwwlxsdzhohetasxigmpkeqdspwgffsnkcqgrhgkudcvpaurgbwljazjicektenworksiduiexhtpocvuhuvuxlpnvkttvefhwyrajleanwnevpdxdpxwghtfjgnmrfdvdxcfiwcaouymliesewtshhmzojmrppslnlsjftkieldycajcdnmktllyapxwkayavetpjskssdsnxanpciwletcqvbaovxdcnvqodjotbvvjddjmszabthrcnckfxnibgjyfjkgxpkajuhtmqfrkerpojfrcbwjcvhlychdtzocwouqwogdwkfdspstvelozptwaxqvromaryjgislvphrodagximymyakpkzpkjkahqkcybcetunghubmrjzbpszonmbdgdprbvrwvadldhtgxdcoxqxnnagdmmgqqdgxbxwldbexaonrujfwozifhpozcstuezlykubhaihctwxhneryrkejuiecvxetiynpusbjxfwwdwjqmurhivodqtwniquivvnddhmtyjmthhcewkpxnnfbolkuqmhlzzysfxepzyokcbsgfrjtgbhbtyhtvjxvgragpqcgvqsadeaoqcloxbvfbrymmshvabqlirplykjakpdjiccbmnhcpkeowoemllqmbrupstgegfwzchlwfathpasrzkgqfwjawibnlwlqkjmrltvdwfbgljjvdjqwnsqzjoacnfgppgtzgdmggqcmlgyeyzynzaspwbwookcszncilcrktysafbzqytaarboucehquoxgeiqtsoxqgmqwwytvxganxaddikmjw,vqpqv,53.87559998780489,eowoe,49.20110001694411,eowoe,0.6395000091288239
