id,Input,Brute_Result,Brute_Time(ms),Dp_Results,Dp_Time(ms),Manacher_Result,Manacher_Time(ms)
text1, babcbabcbaccba,abcbabcba,15.929899993352592,abcbabcba,0.036699988413602114,abcbabcba,0.08599995635449886
text2, abaaba,abaaba,12.140500009991229,abaaba,0.016700010746717453,abaaba,0.02239999594166875
text3, abababa,abababa,13.96110001951456,abababa,0.017099955584853888,abababa,0.023100001271814108
text4, abcbabcbabcba,abcbabcbabcba,14.019499998539686,abcbabcbabcba,0.027699978090822697,abcbabcbabcba,0.02700003096833825
text5, forgeeksskeegfor,geeksskeeg,13.782900001388043,geeksskeeg,0.034999975468963385,geeksskeeg,0.03739999374374747
text6, caba,aba,12.827900005504489,aba,0.015500001609325409,aba,0.021799991372972727
text7, abacdfgdcaba,aba,12.989400012884289,aba,0.023499946109950542,aba,0.024500011932104826
text8, abacdfgdcabba,abba,12.425199965946376,abba,0.02659996971487999,abba,0.024800014216452837
text9, abacdedcaba,abacdedcaba,12.640599976293743,abacdedcaba,0.023600005079060793,abacdedcaba,0.02340000355616212
text10, babad,bab,12.952700024470687,aba,0.01780001912266016,aba,0.022499996703118086
text11, cbbd,bb,12.219300027936697,bb,0.01160003012046218,bb,0.017000013031065464
text12, abb,bb,12.789000000339001,bb,0.01090002479031682,bb,0.017700018361210823
text13, abba,abba,12.935200007632375,abba,0.01580000389367342,abba,0.02400000812485814
text14,,,13.513999991118908,,0.0012999516911804676,,0.016200006939470768
text15, z,z,11.693199980072677, ,0.009300012607127428,z,0.017600017599761486
text16, aaaaaaa,aaaaaaa,12.137699988670647,aaaaaaa,0.01729995710775256,aaaaaaa,0.0219999928958714
text17, abcdedcba,abcdedcba,13.042000005953014,abcdedcba,0.01880002673715353,abcdedcba,0.02300000051036477
text18, abcdeffedcba,abcdeffedcba,11.863899999298155,abcdeffedcba,0.035400036722421646,abcdeffedcba,0.03390002530068159
text19, abcdefghijabcdefghij,a,11.521400010678917, ,0.04080001963302493,j,0.02759997732937336
text20, xyz,x,13.009499991312623, ,0.010600022505968809,z,0.017099955584853888
text21, pqrs,p,12.013100029435009, ,0.011800031643360853,s,0.016599951777607203
